Wavelenght [nm],"Photon Flux, Etr [µmol m2 s-1]","Photon Flux, Tilt [µmol m2 s-1]","Photon Flux, Direct [µmol m2 s-1]"
280.0,53.74057147,3.1005E-20,1.66209E-23
280.5,65.11383745,8.09451E-19,7.18028E-22
281.0,99.00936248,3.75543E-18,4.04308E-21
281.5,140.4316584,1.03747E-16,1.82025E-19
282.0,177.4932507,7.94133E-16,1.88435E-18
282.5,202.1398309,3.03116E-15,8.85346E-18
283.0,217.5848221,1.23535E-14,4.52884E-17
283.5,217.0106331,2.3757E-14,9.81856E-17
284.0,201.5952215,4.89964E-13,3.36024E-15
284.5,169.3142995,1.68178E-12,1.4631E-14
285.0,119.4271956,5.44155E-12,6.11076E-14
285.5,105.6127348,2.90353E-11,4.38967E-13
286.0,165.4702022,9.35659E-11,1.60704E-12
286.5,228.4892917,5.75155E-10,1.2665E-11
287.0,249.255488,1.88436E-09,4.99523E-11
287.5,234.2328278,7.53345E-09,2.53013E-10
288.0,215.6342436,4.32218E-08,1.94563E-09
288.5,226.1243655,1.19408E-07,6.3072E-09
289.0,273.6869676,3.92832E-07,2.4421E-08
289.5,335.586912,1.45367E-06,1.07668E-07
290.0,395.8008804,4.22994E-06,3.61732E-07
290.5,427.5011259,9.72318E-06,9.38457E-07
291.0,437.4685315,2.48125E-05,2.75825E-06
291.5,424.7669005,7.75164E-05,1.02463E-05
292.0,404.1300337,0.000191231,2.90724E-05
292.5,378.3378383,0.000305281,5.03597E-05
293.0,386.0911809,0.000620516,0.0001131
293.5,395.3310454,0.001635115,0.000339128
294.0,385.1183703,0.003016207,0.000683227
294.5,377.004303,0.004778602,0.001157476
295.0,383.3778455,0.008940633,0.002345807
295.5,408.036622,0.020311319,0.005854559
296.0,419.6724008,0.035085492,0.010793564
296.5,382.8771812,0.052430657,0.017131733
297.0,352.4626974,0.071377383,0.024471087
297.5,391.3830176,0.137672121,0.050244997
298.0,391.9573529,0.215190525,0.082600558
298.5,348.5835506,0.266569587,0.106288189
299.0,352.7416488,0.367770536,0.151880689
299.5,375.6676037,0.645368449,0.280333514
300.0,344.5271523,0.767764246,0.343300836
300.5,326.8505456,0.939789675,0.431827694
301.0,350.6600961,1.461714871,0.696215551
301.5,362.8899507,2.045150376,1.003122171
302.0,342.3202512,2.226911407,1.110825403
302.5,388.5857188,3.276970904,1.675967146
303.0,469.6875456,5.444768451,2.865094028
303.5,497.41889,6.914199571,3.699379745
304.0,479.7457462,7.316006749,3.93785506
304.5,485.2005588,9.264540383,5.012834847
305.0,499.2373532,12.80209431,6.947019966
305.5,476.6899597,14.6041888,7.946913141
306.0,442.245748,14.54088365,7.944768747
306.5,451.5451352,16.57602559,9.084302824
307.0,476.6553708,21.9411164,12.01171534
307.5,498.7604002,28.16692054,15.38806255
308.0,511.4857195,30.00478321,16.45715215
308.5,509.5676349,32.96079175,18.09939687
309.0,462.932123,32.35257013,17.79734565
309.5,400.3719805,34.67701797,18.95521104
310.0,428.1766322,40.92099338,22.35355154
310.5,525.464245,52.8204396,28.91584609
311.0,616.0956106,67.04446223,36.70054062
311.5,603.477945,68.1994968,37.43834413
312.0,574.6170613,75.98306693,41.41734644
312.5,551.8475319,80.8048463,43.89147101
313.0,568.3560808,87.89864286,47.76402262
313.5,594.8206288,88.37687161,48.47213022
314.0,590.950109,98.64828249,53.79211968
314.5,558.933784,107.9833612,58.27132746
315.0,567.7627886,113.0134112,61.11931168
315.5,525.8818362,98.50299331,53.94698906
316.0,489.9870834,103.072581,56.00043178
316.5,543.4561287,125.9076479,67.92615446
317.0,620.7765859,144.1310509,78.13888771
317.5,675.732212,153.7459528,84.02475442
318.0,611.6896966,148.7274709,80.99535424
318.5,576.6338742,157.6500052,84.84149869
319.0,600.3926755,174.1291877,93.32541857
319.5,625.6402773,167.1576883,91.24596259
320.0,663.3977961,175.7105363,96.53079931
320.5,709.2649199,210.5898567,114.2466073
321.0,659.3331794,215.5455998,115.5422265
321.5,621.2454345,206.0132809,110.744127
322.0,637.1596352,192.4401858,105.7411281
322.5,618.612819,188.7433338,104.0700956
323.0,566.0073968,185.1166873,101.3667792
323.5,596.0879151,217.490118,117.1652448
324.0,649.8115831,241.645666,130.3308796
324.5,693.6301862,249.2931536,136.1469301
325.0,732.1294984,246.2917609,136.8935062
325.5,809.3031797,287.2775199,158.8546552
326.0,886.9321294,338.6573123,185.3908917
326.5,905.9179019,362.8840134,197.491172
327.0,898.0577661,355.8085741,195.1646587
327.5,884.7482528,344.8742037,190.8396575
328.0,860.4898627,315.8094294,177.8249188
328.5,842.5389541,335.2475128,186.5042064
329.0,908.9862943,382.1524601,210.7968714
329.5,994.5222394,425.4536735,234.7355649
330.0,1010.287467,429.121832,238.4343966
330.5,952.2653026,390.8040555,220.0829474
331.0,907.6157158,368.7429258,209.1362752
331.5,913.0789656,384.0414024,217.1176038
332.0,914.738962,401.9426226,225.8168809
332.5,905.7222458,405.8897719,227.8561061
333.0,893.5334897,398.0735542,224.9082211
333.5,871.1714467,378.6295197,216.305269
334.0,891.1027944,386.9741898,222.1578939
334.5,924.6854021,416.3057855,237.8916926
335.0,947.2275819,435.1786973,248.3880825
335.5,916.9647214,426.3637078,243.6444696
336.0,839.7276249,391.8301089,224.7320596
336.5,784.6880394,361.7137363,209.1775752
337.0,776.5786931,354.8717793,206.6477801
337.5,835.3682204,381.3583709,223.1343053
338.0,883.6568215,414.5773355,241.8168831
338.5,917.4410043,436.0725452,254.2950338
339.0,930.5284962,445.3160489,260.3016645
339.5,952.9019465,457.1424242,268.3059707
340.0,1018.909465,484.9096828,286.6069407
340.5,1014.058064,485.280525,287.5958998
341.0,943.8442907,458.2067561,271.5083288
341.5,934.9155612,457.5626889,271.5349648
342.0,973.5383957,478.4486076,284.7284486
