Wavelenght [nm],? [µmol m2 s-1 nm-1],? [µmol m2 s-1]
300,0.00020612,0.06183598
302,0.000182903,0.055236696
304,9.00351E-05,0.027370671
306,6.68181E-05,0.02044635
308,-2.83276E-06,0.000872491
310,0.000113252,0.035108141
312,0.00020612,0.064309419
314,0.000113252,0.03556115
316,0.000113252,0.035787654
318,9.00351E-05,0.028631163
320,6.68181E-05,0.021381804
322,0.000113252,0.036467166
324,4.36012E-05,0.014126779
326,0.000136469,0.044488906
328,0.000113252,0.037146679
330,6.68181E-05,0.022049985
332,9.00351E-05,0.029891654
334,0.000136469,0.045580658
336,2.03842E-05,0.006849093
338,4.36012E-05,0.014737196
340,6.68181E-05,0.022718166
342,9.00351E-05,0.030792005
344,0.000136469,0.046945348
346,4.36012E-05,0.015086005
348,0.000113252,0.03941172
350,4.36012E-05,0.01526041
352,4.36012E-05,0.015347612
354,4.36012E-05,0.015434814
356,4.36012E-05,0.015522017
358,9.00351E-05,0.032232567
360,4.36012E-05,0.015696421
362,2.03842E-05,0.007379082
364,9.00351E-05,0.032772777
366,4.36012E-05,0.015958028
368,6.68181E-05,0.024589074
370,4.36012E-05,0.016132433
372,6.68181E-05,0.024856347
374,4.36012E-05,0.016306838
376,6.68181E-05,0.025123619
378,4.36012E-05,0.016481242
380,4.36012E-05,0.016568445
382,4.36012E-05,0.016655647
384,4.36012E-05,0.016742849
386,4.36012E-05,0.016830052
388,6.68181E-05,0.025925437
390,4.36012E-05,0.017004456
392,-2.60497E-05,0.010211493
394,-2.83276E-06,0.001116108
396,2.03842E-05,0.008072145
398,2.03842E-05,0.008112913
400,2.03842E-05,0.008153682
402,4.36012E-05,0.017527671
404,2.03842E-05,0.008235219
406,-4.92667E-05,0.020002278
408,4.36012E-05,0.017789278
410,2.03842E-05,0.008357524
412,4.36012E-05,0.017963682
414,6.68181E-05,0.027662709
416,9.00351E-05,0.037454603
418,0.000113252,0.047339365
420,0.000136469,0.057316995
422,0.000136469,0.057589933
424,0.000229337,0.097238846
426,0.000252554,0.107587947
428,0.000275771,0.118029916
430,0.000391856,0.168497935
432,0.000484724,0.209400564
434,0.000298988,0.129760705
436,0.000647242,0.282197639
438,0.000786544,0.344506311
440,0.000879412,0.38694126
442,0.00097228,0.42974768
444,0.001204449,0.534775569
446,0.001366968,0.609667837
448,0.001552704,0.69561138
450,0.001831308,0.824088406
452,0.002133128,0.964173914
454,0.0025046,1.137088213
456,0.002899288,1.322075334
458,0.00357258,1.636241655
460,0.004176221,1.921061731
462,0.004756645,2.197570133
464,0.005569239,2.584126954
466,0.006126446,2.854923983
468,0.006683654,3.12794984
470,0.007287295,3.425028474
472,0.007635549,3.603979184
474,0.007914153,3.751308386
476,0.008169539,3.888700726
478,0.008355275,3.993821483
480,0.008541011,4.099685184
482,0.008749963,4.217482405
484,0.00900535,4.35858946
486,0.009214303,4.47815117
488,0.009400039,4.587218812
490,0.009608991,4.70840571
492,0.00977151,4.807582924
494,0.009887595,4.884471851
496,0.010026897,4.973340732
498,0.010166198,5.06276682
500,0.010282283,5.141141632
502,0.010468019,5.254945535
504,0.010793057,5.439700487
506,0.011048443,5.590512233
508,0.011350264,5.765933965
510,0.011768169,6.001766242
512,0.012255725,6.2749314
514,0.012720065,6.538113264
516,0.013439791,6.934931985
518,0.014020215,7.262471278
520,0.014647073,7.616477913
522,0.015552535,8.118423057
524,0.016272261,8.526664525
526,0.016991986,8.937784897
528,0.017734929,9.364042731
530,0.018593957,9.854797297
532,0.019360117,10.29958227
534,0.020033409,10.69784044
536,0.020938871,11.22323472
538,0.021612163,11.62734357
540,0.02216937,11.97145978
542,0.022819445,12.3681392
544,0.023260567,12.65374865
546,0.023678473,12.92844613
548,0.024026727,13.16664654
550,0.024607151,13.53393328
552,0.025048274,13.82664712
554,0.025466179,14.10826325
556,0.025884085,14.39155101
558,0.026116254,14.57286985
560,0.026093037,14.61210086
562,0.026441292,14.86000596
564,0.026627027,15.01764349
566,0.026812763,15.17602397
568,0.026975282,15.32196015
570,0.027161018,15.48178008
572,0.027253886,15.58922254
574,0.027300319,15.67038339
576,0.027393187,15.77847592
578,0.027416404,15.8466817
580,0.027439621,15.91498035
582,0.027439621,15.96985959
584,0.027416404,16.01118012
586,0.027346753,16.0251975
588,0.027277103,16.03893628
590,0.027207452,16.05239646
592,0.02706815,16.0243447
594,0.026975282,16.02331749
596,0.02683598,15.99424418
598,0.026650244,15.93684617
600,0.026487726,15.8926354
602,0.026209122,15.77789149
604,0.026023386,15.71812535
606,0.025814434,15.64354679
608,0.025559047,15.53990059
610,0.025326877,15.44939519
612,0.025094708,15.35796111
614,0.024792887,15.2228327
616,0.024398199,15.02929041
618,0.024049944,14.86286553
620,0.023748124,14.72383667
622,0.023307001,14.49695481
624,0.022981964,14.3407454
626,0.022610492,14.15416819
628,0.022146153,13.90778408
630,0.021751465,13.70342268
632,0.021356776,13.49748252
