,low,up,Beta-Carotene - Chla Action Spectrum (N),LHCI Absorption Spectrum (N),LHCII Absorption Spectrum (N),Chla Absorption Spectrum (N),OEC Photoinhibition Action Spectra (N),Protochlorophyllide photoreductase Absorption Spectrum (N),Divinyl Protochlorophyllide photoreductase Absorption Spectrum (N),Rhodopsin photoisomerase Activity Spectrum (N),Vitamin D3 Synthesis Activity Spectrum (N),Xanthophylls Action Absorption  (N),Zeaxanthin emission spectra
photon265,250.0,280.0,0.0,0.0,0.0,0.0,1.2132544533246186,0.0,0.0,0.0,5.689233844405527,0.0,0.0
photon295,280.0,310.0,0.0,0.0,0.0,0.0,2.287911883168556,0.0,0.0,0.0,1.7764506353802503,0.0,0.0
photon325,310.0,340.0,0.0,0.0,0.0,0.0,1.0648655980600192,0.0,0.0,0.0,16.416492407496396,0.0,0.0
photon355,340.0,370.0,0.0,5.162297942521717,4.0694449897585425,4.0694449897585425,3.1973992450813986,0.0,0.0,0.0,0.0,0.0,0.0
photon385,370.0,400.0,7.454551161552848,4.903913590062825,3.7565157180076127,3.7565157180076127,18.527953876006436,53.48711027774975,53.48711027774975,0.0,0.0,26.332673874523937,0.0
photon415,400.0,430.0,5.132601401218989,6.2444865923645105,5.211308674614449,5.211308674614449,73.45784263312024,12.759907417267032,12.759907417267032,121.98140537725146,0.0,12.092947216700368,0.0
photon445,430.0,460.0,7.090319072896644,7.035364733461841,7.035364733461841,7.035364733461841,183.85523129458406,8.191144263756875,8.191144263756875,17.10214965303026,0.0,8.034185469466182,0.0
photon475,460.0,490.0,6.88786630028238,8.6531897452385,8.586148721468085,8.586148721468085,167.329961494545,12.219984490190262,12.219984490190262,6.056773362599743,0.0,5.828437285362745,0.041018369196496145
photon505,490.0,520.0,4.695993502217538,17.449502457190242,10.80461434342461,10.80461434342461,101.81189994247998,20.677144730758364,20.677144730758364,3.690577123355034,0.0,5.983342087790776,0.10894226849312531
photon535,520.0,550.0,2.876143755855357,33.33677928200295,18.373574671109296,18.373574671109296,62.7582612217817,7.509318490610435,7.509318490610435,4.732560155154168,0.0,50.273182234953374,0.13743036442973275
photon565,550.0,580.0,2.5328618503537808,26.23564476654021,17.580204766445508,17.580204766445508,64.54872912911371,5.082805920729927,5.082805920729927,23.51562058690113,0.0,0.0,0.14172988171788395
photon595,580.0,610.0,2.6722219838014816,19.048899303343557,14.675609522247893,14.675609522247893,90.1022636030957,4.6958930293154175,4.6958930293154175,0.0,0.0,0.0,0.1311613617536691
photon625,610.0,640.0,4.062833636912031,18.357575295616538,15.554473414592689,15.554473414592689,167.50776551670486,3.5408088140584666,3.5408088140584666,0.0,0.0,0.0,0.11574799736687463
photon655,640.0,670.0,5.340726320059342,10.622731659495019,9.867292078488967,9.867292078488967,215.3983375936429,3.911679066764597,3.911679066764597,0.0,0.0,0.0,0.10124501369482976
photon685,670.0,700.0,3.269869140441147,8.342074698994153,5.535555165893103,5.535555165893103,143.9580189427575,9.706102597775963,9.706102597775963,0.0,0.0,0.0,0.08652570173278515
photon715,700.0,730.0,2.821312335266819,53.99914217588376,17.54269485877794,17.54269485877794,123.01200268456567,3.9611855475967572,3.9611855475967572,0.0,0.0,0.0,0.07326660313901008
photon745,730.0,760.0,0.0,88.92820912248035,2.0227458288979148,2.0227458288979148,0.0,0.0,0.0,0.0,0.0,0.0,0.06293243847559324
ID,,,BCAROSingletp,P700SGTp,P680SGTp,LHCIIabsp,OECLghtDMGp,PCHLDp,DVPCHLDp,RHODOPSINIp,VITD3Sp,ZEAXExcp,DEXZEAX
