,low,up,Beta-Carotene - Chla Action Spectrum,LHCI Absorption Spectrum,LHCII Absorption Spectrum,Chla Absorption Spectrum,OEC Photoinhibition Action Spectra,Protochlorophyllide photoreductase Absorption Spectrum,Divinyl Protochlorophyllide photoreductase Absorption Spectrum,Rhodopsin photoisomerase Activity Spectrum,Vitamin D3 Synthesis Activity Spectrum,Xanthophylls Action Absorption ,Zeaxanthin emission spectra
photon265,250.0,280.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21325445332461856,0.0,0.0
photon295,280.0,310.0,0.0,0.0,0.0,0.0,0.7764506353802504,0.0,0.0,0.0,1.0,0.0,0.0
photon325,310.0,340.0,0.0,0.0,0.0,0.0,0.5212700520311261,0.0,0.0,0.0,0.03381249367577636,0.0,0.0
photon355,340.0,370.0,0.0,0.15564535103488145,0.1974440439501096,0.1974440439501096,0.25129413433322556,0.0,0.0,0.0,0.0016601021421127676,0.0,0.0
photon385,370.0,400.0,0.35615612631576626,0.5414010700558337,0.7067677242488721,0.7067677242488721,0.1432961288056499,0.04963782958799725,0.04963782958799725,0.0,0.0004949276553943476,0.1008247046149755,0.0
photon415,400.0,430.0,1.0,0.821941295781612,0.9848968314276102,0.9848968314276102,0.069871387686314,0.4022444076885246,0.4022444076885246,0.04207691643939837,0.0,0.4244293230793948,0.0
photon445,430.0,460.0,0.9922493841433919,1.0,1.0,1.0,0.03826578490001925,0.8588988921353785,0.8588988921353785,0.41137312420928757,0.0,0.8756786559383839,0.0
photon475,460.0,490.0,0.8461890854536184,0.6735593991302339,0.678818580301295,0.678818580301295,0.034832000397924875,0.4769594666868516,0.4769594666868516,0.962300706404674,0.0,1.0,0.041018369196496145
photon505,490.0,520.0,0.7858991120009584,0.21150042142515615,0.3415741650789246,0.3415741650789246,0.03624897605721999,0.17848581955636758,0.17848581955636758,1.0,0.0,0.616808644601115,0.10894226849312531
photon535,520.0,550.0,0.6752121433992946,0.058254193474652674,0.10569566482722684,0.10569566482722684,0.030944247853724387,0.2586129743389971,0.2586129743389971,0.41035023886607735,0.0,0.03862908818939605,0.13743036442973275
photon565,550.0,580.0,0.7062112976344354,0.06817959573642252,0.10174714560100998,0.10174714560100998,0.027711400026004834,0.3519189365015584,0.3519189365015584,0.07606584939814336,0.0,0.003235347066957752,0.14172988171788395
photon595,580.0,610.0,0.8162364343567314,0.11450346338304931,0.14862516889408892,0.14862516889408892,0.02420765979283181,0.46448352427350115,0.46448352427350115,0.0,0.0,0.0,0.1311613617536691
photon625,610.0,640.0,0.7714505329651672,0.17073470347105177,0.20150313617201096,0.20150313617201096,0.01871122311778451,0.8851862213232846,0.8851862213232846,0.0,0.0,0.0,0.11574799736687463
photon655,640.0,670.0,0.7324245490866369,0.36823664497522945,0.396428831299338,0.396428831299338,0.01816021010405441,1.0,1.0,0.0,0.0,0.0,0.10124501369482976
photon685,670.0,700.0,0.7621239015475432,0.29873209204940315,0.45018888840950666,0.45018888840950666,0.017310917760363448,0.25675036934329754,0.25675036934329754,0.0,0.0,0.0,0.08652570173278515
photon715,700.0,730.0,0.12752176578109325,0.006662674929934039,0.020508749294763,0.020508749294763,0.002924744927011468,0.09082602329281989,0.09082602329281989,0.0,0.0,0.0,0.07326660313901008
photon745,730.0,760.0,0.0,0.0002343964788997513,0.010305031307135193,0.010305031307135193,0.0,0.0,0.0,0.0,0.0,0.0,0.06293243847559324
ID,,,BCAROSingletp,P700SGTp,P680SGTp,LHCIIabsp,OECLghtDMGp,PCHLDp,DVPCHLDp,RHODOPSINIp,VITD3Sp,ZEAXExcp,DEXZEAX
